Tanggal,Produk,Jumlah,Satuan
2022-06-01,Ayam Fillet,,KG
2022-06-02,Ayam Fillet,201,KG
2022-06-03,Ayam Fillet,215,KG
2022-06-04,Ayam Fillet,213,KG
2022-06-05,Ayam Fillet,160,KG
2022-06-06,Ayam Fillet,171,KG
2022-06-07,Ayam Fillet,,KG
2022-06-08,Ayam Fillet,,KG
2022-06-09,Ayam Fillet,,KG
2022-06-10,Ayam Fillet,217,KG
2022-06-11,Ayam Fillet,211,KG
2022-06-12,Ayam Fillet,,KG
2022-06-13,Ayam Fillet,164,KG
2022-06-14,Ayam Fillet,170,KG
2022-06-15,Ayam Fillet,,KG
2022-06-16,Ayam Fillet,200,KG
2022-06-17,Ayam Fillet,215,KG
2022-06-18,Ayam Fillet,209,KG
2022-06-19,Ayam Fillet,146,KG
2022-06-20,Ayam Fillet,169,KG
2022-06-21,Ayam Fillet,172,KG
2022-06-22,Ayam Fillet,181,KG
2022-06-23,Ayam Fillet,,KG
2022-06-24,Ayam Fillet,214,KG
2022-06-25,Ayam Fillet,,KG
2022-06-26,Ayam Fillet,162,KG
2022-06-27,Ayam Fillet,,KG
2022-06-28,Ayam Fillet,184,KG
2022-06-29,Ayam Fillet,,KG
2022-06-30,Ayam Fillet,207,KG
2022-07-01,Ayam Fillet,220,KG
2022-07-02,Ayam Fillet,,KG
2022-07-03,Ayam Fillet,158,KG
2022-07-04,Ayam Fillet,,KG
2022-07-05,Ayam Fillet,168,KG
2022-07-06,Ayam Fillet,,KG
2022-07-07,Ayam Fillet,,KG
2022-07-08,Ayam Fillet,,KG
2022-07-09,Ayam Fillet,,KG
2022-07-10,Ayam Fillet,150,KG
2022-07-11,Ayam Fillet,,KG
2022-07-12,Ayam Fillet,168,KG
2022-07-13,Ayam Fillet,180,KG
2022-07-14,Ayam Fillet,198,KG
2022-07-15,Ayam Fillet,211,KG
2022-07-16,Ayam Fillet,209,KG
2022-07-17,Ayam Fillet,155,KG
2022-07-18,Ayam Fillet,164,KG
2022-07-19,Ayam Fillet,162,KG
2022-07-20,Ayam Fillet,,KG
2022-07-21,Ayam Fillet,191,KG
2022-07-22,Ayam Fillet,208,KG
2022-07-23,Ayam Fillet,202,KG
2022-07-24,Ayam Fillet,146,KG
2022-07-25,Ayam Fillet,175,KG
2022-07-26,Ayam Fillet,,KG
2022-07-27,Ayam Fillet,189,KG
2022-07-28,Ayam Fillet,204,KG
2022-07-29,Ayam Fillet,218,KG
2022-07-30,Ayam Fillet,213,KG
2022-07-31,Ayam Fillet,150,KG
2022-08-01,Ayam Fillet,159,KG
2022-08-02,Ayam Fillet,167,KG
2022-08-03,Ayam Fillet,178,KG
2022-08-04,Ayam Fillet,,KG
2022-08-05,Ayam Fillet,,KG
2022-08-06,Ayam Fillet,191,KG
2022-08-07,Ayam Fillet,,KG
2022-08-08,Ayam Fillet,155,KG
2022-08-09,Ayam Fillet,,KG
2022-08-10,Ayam Fillet,,KG
2022-08-11,Ayam Fillet,,KG
2022-08-12,Ayam Fillet,201,KG
2022-08-13,Ayam Fillet,192,KG
2022-08-14,Ayam Fillet,,KG
2022-08-15,Ayam Fillet,157,KG
2022-08-16,Ayam Fillet,155,KG
2022-08-17,Ayam Fillet,176,KG
2022-08-18,Ayam Fillet,187,KG
2022-08-19,Ayam Fillet,201,KG
2022-08-20,Ayam Fillet,197,KG
2022-08-21,Ayam Fillet,141,KG
2022-08-22,Ayam Fillet,153,KG
2022-08-23,Ayam Fillet,144,KG
2022-08-24,Ayam Fillet,159,KG
2022-08-25,Ayam Fillet,187,KG
2022-08-26,Ayam Fillet,,KG
2022-08-27,Ayam Fillet,,KG
2022-08-28,Ayam Fillet,147,KG
