Tanggal,Produk,Jumlah,Harga,Total Harga,Satuan
2022-06-01,Indomilk fc,65,130000,8450000,DUS
2022-06-02,Indomilk fc,81,130000,10530000,DUS
2022-06-03,Indomilk fc,94,130000,12220000,DUS
2022-06-04,Indomilk fc,,130000,,DUS
2022-06-05,Indomilk fc,37,130000,4810000,DUS
2022-06-06,Indomilk fc,40,130000,5200000,DUS
2022-06-07,Indomilk fc,,130000,,DUS
2022-06-08,Indomilk fc,68,130000,8840000,DUS
2022-06-09,Indomilk fc,79,130000,10270000,DUS
2022-06-10,Indomilk fc,97,130000,12610000,DUS
2022-06-11,Indomilk fc,79,130000,10270000,DUS
2022-06-12,Indomilk fc,35,130000,4550000,DUS
2022-06-13,Indomilk fc,34,130000,4420000,DUS
2022-06-14,Indomilk fc,,130000,,DUS
2022-06-15,Indomilk fc,66,130000,8580000,DUS
2022-06-16,Indomilk fc,,130000,,DUS
2022-06-17,Indomilk fc,102,130000,13260000,DUS
2022-06-18,Indomilk fc,93,130000,12090000,DUS
2022-06-19,Indomilk fc,,130000,,DUS
2022-06-20,Indomilk fc,,130000,,DUS
2022-06-21,Indomilk fc,51,130000,6630000,DUS
2022-06-22,Indomilk fc,,130000,,DUS
2022-06-23,Indomilk fc,91,130000,11830000,DUS
2022-06-24,Indomilk fc,107,130000,13910000,DUS
2022-06-25,Indomilk fc,99,130000,12870000,DUS
2022-06-26,Indomilk fc,50,130000,6500000,DUS
2022-06-27,Indomilk fc,53,130000,6890000,DUS
2022-06-28,Indomilk fc,60,130000,7800000,DUS
2022-06-29,Indomilk fc,73,130000,9490000,DUS
2022-06-30,Indomilk fc,96,130000,12480000,DUS
2022-07-01,Indomilk fc,98,130000,12740000,DUS
2022-07-02,Indomilk fc,82,130000,10660000,DUS
2022-07-03,Indomilk fc,34,130000,4420000,DUS
2022-07-04,Indomilk fc,,130000,,DUS
2022-07-05,Indomilk fc,52,130000,6760000,DUS
2022-07-06,Indomilk fc,73,130000,9490000,DUS
2022-07-07,Indomilk fc,,130000,,DUS
2022-07-08,Indomilk fc,99,130000,12870000,DUS
2022-07-09,Indomilk fc,,130000,,DUS
2022-07-10,Indomilk fc,39,130000,5070000,DUS
2022-07-11,Indomilk fc,38,130000,4940000,DUS
2022-07-12,Indomilk fc,42,130000,5460000,DUS
2022-07-13,Indomilk fc,64,130000,8320000,DUS
2022-07-14,Indomilk fc,83,130000,10790000,DUS
2022-07-15,Indomilk fc,100,130000,13000000,DUS
2022-07-16,Indomilk fc,,130000,,DUS
2022-07-17,Indomilk fc,38,130000,4940000,DUS
2022-07-18,Indomilk fc,39,130000,5070000,DUS
2022-07-19,Indomilk fc,52,130000,6760000,DUS
2022-07-20,Indomilk fc,67,130000,8710000,DUS
2022-07-21,Indomilk fc,81,130000,10530000,DUS
2022-07-22,Indomilk fc,100,130000,13000000,DUS
2022-07-23,Indomilk fc,,130000,,DUS
