Tanggal,Produk,Jumlah,Satuan
2022-06-01,Indomilk st_ck,147,DUS
2022-06-02,Indomilk st_ck,179,DUS
2022-06-03,Indomilk st_ck,,DUS
2022-06-04,Indomilk st_ck,196,DUS
2022-06-05,Indomilk st_ck,,DUS
2022-06-06,Indomilk st_ck,151,DUS
2022-06-07,Indomilk st_ck,,DUS
2022-06-08,Indomilk st_ck,149,DUS
2022-06-09,Indomilk st_ck,183,DUS
2022-06-10,Indomilk st_ck,193,DUS
2022-06-11,Indomilk st_ck,191,DUS
2022-06-12,Indomilk st_ck,,DUS
2022-06-13,Indomilk st_ck,146,DUS
2022-06-14,Indomilk st_ck,137,DUS
2022-06-15,Indomilk st_ck,167,DUS
2022-06-16,Indomilk st_ck,,DUS
2022-06-17,Indomilk st_ck,,DUS
2022-06-18,Indomilk st_ck,193,DUS
2022-06-19,Indomilk st_ck,,DUS
2022-06-20,Indomilk st_ck,,DUS
2022-06-21,Indomilk st_ck,140,DUS
2022-06-22,Indomilk st_ck,168,DUS
2022-06-23,Indomilk st_ck,,DUS
2022-06-24,Indomilk st_ck,192,DUS
2022-06-25,Indomilk st_ck,202,DUS
2022-06-26,Indomilk st_ck,143,DUS
2022-06-27,Indomilk st_ck,,DUS
2022-06-28,Indomilk st_ck,143,DUS
2022-06-29,Indomilk st_ck,175,DUS
2022-06-30,Indomilk st_ck,192,DUS
2022-07-01,Indomilk st_ck,197,DUS
2022-07-02,Indomilk st_ck,,DUS
2022-07-03,Indomilk st_ck,,DUS
2022-07-04,Indomilk st_ck,,DUS
2022-07-05,Indomilk st_ck,128,DUS
2022-07-06,Indomilk st_ck,162,DUS
2022-07-07,Indomilk st_ck,186,DUS
2022-07-08,Indomilk st_ck,196,DUS
2022-07-09,Indomilk st_ck,172,DUS
2022-07-10,Indomilk st_ck,114,DUS
2022-07-11,Indomilk st_ck,138,DUS
2022-07-12,Indomilk st_ck,,DUS
2022-07-13,Indomilk st_ck,138,DUS
2022-07-14,Indomilk st_ck,176,DUS
2022-07-15,Indomilk st_ck,193,DUS
2022-07-16,Indomilk st_ck,182,DUS
2022-07-17,Indomilk st_ck,115,DUS
2022-07-18,Indomilk st_ck,,DUS
2022-07-19,Indomilk st_ck,128,DUS
2022-07-20,Indomilk st_ck,149,DUS
2022-07-21,Indomilk st_ck,175,DUS
2022-07-22,Indomilk st_ck,191,DUS
2022-07-23,Indomilk st_ck,184,DUS
2022-07-24,Indomilk st_ck,119,DUS
2022-07-25,Indomilk st_ck,149,DUS
2022-07-26,Indomilk st_ck,151,DUS
2022-07-27,Indomilk st_ck,,DUS
2022-07-28,Indomilk st_ck,193,DUS
2022-07-29,Indomilk st_ck,,DUS
2022-07-30,Indomilk st_ck,196,DUS
2022-07-31,Indomilk st_ck,,DUS
2022-08-01,Indomilk st_ck,135,DUS
2022-08-02,Indomilk st_ck,,DUS
2022-08-03,Indomilk st_ck,,DUS
2022-08-04,Indomilk st_ck,,DUS
2022-08-05,Indomilk st_ck,192,DUS
2022-08-06,Indomilk st_ck,186,DUS
2022-08-07,Indomilk st_ck,114,DUS
2022-08-08,Indomilk st_ck,,DUS
2022-08-09,Indomilk st_ck,132,DUS
2022-08-10,Indomilk st_ck,,DUS
2022-08-11,Indomilk st_ck,,DUS
2022-08-12,Indomilk st_ck,190,DUS
2022-08-13,Indomilk st_ck,189,DUS
2022-08-14,Indomilk st_ck,119,DUS
2022-08-15,Indomilk st_ck,138,DUS
2022-08-16,Indomilk st_ck,124,DUS
2022-08-17,Indomilk st_ck,,DUS
2022-08-18,Indomilk st_ck,179,DUS
2022-08-19,Indomilk st_ck,,DUS
2022-08-20,Indomilk st_ck,,DUS
2022-08-21,Indomilk st_ck,121,DUS
2022-08-22,Indomilk st_ck,134,DUS
2022-08-23,Indomilk st_ck,122,DUS
2022-08-24,Indomilk st_ck,156,DUS
2022-08-25,Indomilk st_ck,,DUS
2022-08-26,Indomilk st_ck,217,DUS
2022-08-27,Indomilk st_ck,201,DUS
2022-08-28,Indomilk st_ck,128,DUS
2022-08-29,Indomilk st_ck,146,DUS
2022-08-30,Indomilk st_ck,140,DUS
2022-08-31,Indomilk st_ck,,DUS
2022-09-01,Indomilk st_ck,176,DUS
2022-09-02,Indomilk st_ck,189,DUS
2022-09-03,Indomilk st_ck,,DUS
2022-09-04,Indomilk st_ck,119,DUS
2022-09-05,Indomilk st_ck,137,DUS
2022-09-06,Indomilk st_ck,123,DUS
2022-09-07,Indomilk st_ck,,DUS
2022-09-08,Indomilk st_ck,,DUS
2022-09-09,Indomilk st_ck,189,DUS
2022-09-10,Indomilk st_ck,186,DUS
2022-09-11,Indomilk st_ck,108,DUS
2022-09-12,Indomilk st_ck,,DUS
2022-09-13,Indomilk st_ck,,DUS
2022-09-14,Indomilk st_ck,,DUS
2022-09-15,Indomilk st_ck,175,DUS
2022-09-16,Indomilk st_ck,,DUS
2022-09-17,Indomilk st_ck,179,DUS
2022-09-18,Indomilk st_ck,,DUS
2022-09-19,Indomilk st_ck,136,DUS
2022-09-20,Indomilk st_ck,125,DUS
2022-09-21,Indomilk st_ck,153,DUS
2022-09-22,Indomilk st_ck,169,DUS
2022-09-23,Indomilk st_ck,185,DUS
2022-09-24,Indomilk st_ck,180,DUS
2022-09-25,Indomilk st_ck,128,DUS
2022-09-26,Indomilk st_ck,,DUS
2022-09-27,Indomilk st_ck,136,DUS
2022-09-28,Indomilk st_ck,164,DUS
2022-09-29,Indomilk st_ck,177,DUS
2022-09-30,Indomilk st_ck,195,DUS
2022-10-01,Indomilk st_ck,,DUS
2022-10-02,Indomilk st_ck,113,DUS
2022-10-03,Indomilk st_ck,134,DUS
2022-10-04,Indomilk st_ck,122,DUS
2022-10-05,Indomilk st_ck,150,DUS
2022-10-06,Indomilk st_ck,167,DUS
2022-10-07,Indomilk st_ck,183,DUS
2022-10-08,Indomilk st_ck,176,DUS
2022-10-09,Indomilk st_ck,,DUS
2022-10-10,Indomilk st_ck,130,DUS
2022-10-11,Indomilk st_ck,124,DUS
2022-10-12,Indomilk st_ck,149,DUS
2022-10-13,Indomilk st_ck,165,DUS
2022-10-14,Indomilk st_ck,,DUS
2022-10-15,Indomilk st_ck,178,DUS
2022-10-16,Indomilk st_ck,111,DUS
2022-10-17,Indomilk st_ck,129,DUS
2022-10-18,Indomilk st_ck,,DUS
2022-10-19,Indomilk st_ck,148,DUS
2022-10-20,Indomilk st_ck,,DUS
2022-10-21,Indomilk st_ck,184,DUS
2022-10-22,Indomilk st_ck,179,DUS
2022-10-23,Indomilk st_ck,,DUS
2022-10-24,Indomilk st_ck,130,DUS
