Tanggal,Produk,Jumlah,Satuan
2022-06-01,Jeruk DR,319,KG
2022-06-02,Jeruk DR,368,KG
2022-06-03,Jeruk DR,441,KG
2022-06-04,Jeruk DR,377,KG
2022-06-05,Jeruk DR,218,KG
2022-06-06,Jeruk DR,223,KG
2022-06-07,Jeruk DR,,KG
2022-06-08,Jeruk DR,,KG
2022-06-09,Jeruk DR,384,KG
2022-06-10,Jeruk DR,442,KG
2022-06-11,Jeruk DR,377,KG
2022-06-12,Jeruk DR,216,KG
2022-06-13,Jeruk DR,227,KG
2022-06-14,Jeruk DR,239,KG
2022-06-15,Jeruk DR,328,KG
2022-06-16,Jeruk DR,390,KG
2022-06-17,Jeruk DR,418,KG
2022-06-18,Jeruk DR,378,KG
2022-06-19,Jeruk DR,,KG
2022-06-20,Jeruk DR,225,KG
2022-06-21,Jeruk DR,243,KG
2022-06-22,Jeruk DR,325,KG
2022-06-23,Jeruk DR,,KG
2022-06-24,Jeruk DR,435,KG
2022-06-25,Jeruk DR,415,KG
2022-06-26,Jeruk DR,269,KG
2022-06-27,Jeruk DR,261,KG
2022-06-28,Jeruk DR,274,KG
2022-06-29,Jeruk DR,360,KG
2022-06-30,Jeruk DR,423,KG
2022-07-01,Jeruk DR,,KG
2022-07-02,Jeruk DR,360,KG
2022-07-03,Jeruk DR,,KG
2022-07-04,Jeruk DR,223,KG
2022-07-05,Jeruk DR,221,KG
2022-07-06,Jeruk DR,326,KG
2022-07-07,Jeruk DR,389,KG
2022-07-08,Jeruk DR,432,KG
2022-07-09,Jeruk DR,358,KG
2022-07-10,Jeruk DR,229,KG
2022-07-11,Jeruk DR,211,KG
2022-07-12,Jeruk DR,223,KG
2022-07-13,Jeruk DR,317,KG
2022-07-14,Jeruk DR,379,KG
2022-07-15,Jeruk DR,,KG
2022-07-16,Jeruk DR,363,KG
2022-07-17,Jeruk DR,,KG
2022-07-18,Jeruk DR,,KG
2022-07-19,Jeruk DR,221,KG
2022-07-20,Jeruk DR,321,KG
2022-07-21,Jeruk DR,370,KG
2022-07-22,Jeruk DR,,KG
2022-07-23,Jeruk DR,354,KG
