Tanggal,Produk,Jumlah,Satuan
2022-06-01,Pir,29,DUS
2022-06-02,Pir,,DUS
2022-06-03,Pir,24,DUS
2022-06-04,Pir,23,DUS
2022-06-05,Pir,26,DUS
2022-06-06,Pir,28,DUS
2022-06-07,Pir,,DUS
2022-06-08,Pir,,DUS
2022-06-09,Pir,25,DUS
2022-06-10,Pir,22,DUS
2022-06-11,Pir,20,DUS
2022-06-12,Pir,22,DUS
2022-06-13,Pir,,DUS
2022-06-14,Pir,27,DUS
2022-06-15,Pir,27,DUS
2022-06-16,Pir,,DUS
2022-06-17,Pir,18,DUS
2022-06-18,Pir,17,DUS
2022-06-19,Pir,20,DUS
2022-06-20,Pir,23,DUS
2022-06-21,Pir,,DUS
2022-06-22,Pir,24,DUS
2022-06-23,Pir,21,DUS
2022-06-24,Pir,20,DUS
2022-06-25,Pir,21,DUS
2022-06-26,Pir,,DUS
2022-06-27,Pir,26,DUS
2022-06-28,Pir,29,DUS
2022-06-29,Pir,29,DUS
2022-06-30,Pir,26,DUS
2022-07-01,Pir,24,DUS
2022-07-02,Pir,23,DUS
2022-07-03,Pir,25,DUS
2022-07-04,Pir,,DUS
2022-07-05,Pir,,DUS
2022-07-06,Pir,30,DUS
2022-07-07,Pir,26,DUS
2022-07-08,Pir,,DUS
2022-07-09,Pir,,DUS
2022-07-10,Pir,,DUS
2022-07-11,Pir,26,DUS
2022-07-12,Pir,30,DUS
2022-07-13,Pir,28,DUS
2022-07-14,Pir,23,DUS
2022-07-15,Pir,20,DUS
2022-07-16,Pir,19,DUS
2022-07-17,Pir,20,DUS
2022-07-18,Pir,,DUS
2022-07-19,Pir,26,DUS
2022-07-20,Pir,24,DUS
2022-07-21,Pir,21,DUS
2022-07-22,Pir,19,DUS
2022-07-23,Pir,20,DUS
2022-07-24,Pir,22,DUS
2022-07-25,Pir,25,DUS
2022-07-26,Pir,29,DUS
2022-07-27,Pir,28,DUS
2022-07-28,Pir,25,DUS
2022-07-29,Pir,23,DUS
2022-07-30,Pir,21,DUS
2022-07-31,Pir,,DUS
2022-08-01,Pir,,DUS
2022-08-02,Pir,,DUS
2022-08-03,Pir,31,DUS
2022-08-04,Pir,27,DUS
2022-08-05,Pir,,DUS
2022-08-06,Pir,25,DUS
2022-08-07,Pir,,DUS
2022-08-08,Pir,30,DUS
2022-08-09,Pir,30,DUS
2022-08-10,Pir,29,DUS
2022-08-11,Pir,26,DUS
2022-08-12,Pir,20,DUS
2022-08-13,Pir,20,DUS
2022-08-14,Pir,22,DUS
2022-08-15,Pir,,DUS
2022-08-16,Pir,25,DUS
2022-08-17,Pir,24,DUS
2022-08-18,Pir,,DUS
2022-08-19,Pir,19,DUS
2022-08-20,Pir,19,DUS
2022-08-21,Pir,21,DUS
2022-08-22,Pir,24,DUS
2022-08-23,Pir,27,DUS
2022-08-24,Pir,25,DUS
2022-08-25,Pir,25,DUS
2022-08-26,Pir,20,DUS
2022-08-27,Pir,22,DUS
2022-08-28,Pir,24,DUS
2022-08-29,Pir,27,DUS
2022-08-30,Pir,31,DUS
2022-08-31,Pir,32,DUS
2022-09-01,Pir,,DUS
2022-09-02,Pir,24,DUS
2022-09-03,Pir,24,DUS
2022-09-04,Pir,27,DUS
2022-09-05,Pir,,DUS
2022-09-06,Pir,32,DUS
2022-09-07,Pir,29,DUS
2022-09-08,Pir,27,DUS
2022-09-09,Pir,25,DUS
2022-09-10,Pir,22,DUS
2022-09-11,Pir,24,DUS
2022-09-12,Pir,,DUS
2022-09-13,Pir,29,DUS
2022-09-14,Pir,,DUS
2022-09-15,Pir,23,DUS
2022-09-16,Pir,20,DUS
2022-09-17,Pir,,DUS
2022-09-18,Pir,21,DUS
2022-09-19,Pir,24,DUS
2022-09-20,Pir,27,DUS
2022-09-21,Pir,,DUS
2022-09-22,Pir,22,DUS
2022-09-23,Pir,19,DUS
2022-09-24,Pir,,DUS
2022-09-25,Pir,23,DUS
2022-09-26,Pir,26,DUS
2022-09-27,Pir,29,DUS
2022-09-28,Pir,29,DUS
2022-09-29,Pir,24,DUS
2022-09-30,Pir,24,DUS
2022-10-01,Pir,23,DUS
2022-10-02,Pir,29,DUS
2022-10-03,Pir,,DUS
2022-10-04,Pir,30,DUS
2022-10-05,Pir,,DUS
2022-10-06,Pir,28,DUS
2022-10-07,Pir,26,DUS
2022-10-08,Pir,23,DUS
2022-10-09,Pir,25,DUS
2022-10-10,Pir,29,DUS
2022-10-11,Pir,31,DUS
2022-10-12,Pir,,DUS
2022-10-13,Pir,,DUS
2022-10-14,Pir,21,DUS
