Tanggal,Produk,Jumlah,Satuan
2022-06-01,Semangka,231,KG
2022-06-02,Semangka,260,KG
2022-06-03,Semangka,284,KG
2022-06-04,Semangka,,KG
2022-06-05,Semangka,180,KG
2022-06-06,Semangka,207,KG
2022-06-07,Semangka,,KG
2022-06-08,Semangka,236,KG
2022-06-09,Semangka,257,KG
2022-06-10,Semangka,288,KG
2022-06-11,Semangka,268,KG
2022-06-12,Semangka,178,KG
2022-06-13,Semangka,199,KG
2022-06-14,Semangka,,KG
2022-06-15,Semangka,232,KG
2022-06-16,Semangka,,KG
2022-06-17,Semangka,296,KG
2022-06-18,Semangka,287,KG
2022-06-19,Semangka,,KG
2022-06-20,Semangka,,KG
2022-06-21,Semangka,216,KG
2022-06-22,Semangka,,KG
2022-06-23,Semangka,274,KG
2022-06-24,Semangka,300,KG
2022-06-25,Semangka,296,KG
2022-06-26,Semangka,199,KG
2022-06-27,Semangka,225,KG
2022-06-28,Semangka,228,KG
2022-06-29,Semangka,242,KG
2022-06-30,Semangka,281,KG
2022-07-01,Semangka,289,KG
2022-07-02,Semangka,271,KG
2022-07-03,Semangka,176,KG
2022-07-04,Semangka,,KG
2022-07-05,Semangka,216,KG
2022-07-06,Semangka,242,KG
2022-07-07,Semangka,,KG
2022-07-08,Semangka,290,KG
2022-07-09,Semangka,,KG
2022-07-10,Semangka,182,KG
2022-07-11,Semangka,202,KG
2022-07-12,Semangka,201,KG
2022-07-13,Semangka,229,KG
2022-07-14,Semangka,261,KG
2022-07-15,Semangka,291,KG
2022-07-16,Semangka,,KG
2022-07-17,Semangka,179,KG
2022-07-18,Semangka,204,KG
2022-07-19,Semangka,216,KG
2022-07-20,Semangka,231,KG
2022-07-21,Semangka,257,KG
2022-07-22,Semangka,289,KG
2022-07-23,Semangka,,KG
2022-07-24,Semangka,179,KG
2022-07-25,Semangka,213,KG
2022-07-26,Semangka,,KG
2022-07-27,Semangka,247,KG
2022-07-28,Semangka,,KG
2022-07-29,Semangka,300,KG
2022-07-30,Semangka,278,KG
2022-07-31,Semangka,182,KG
2022-08-01,Semangka,195,KG
2022-08-02,Semangka,201,KG
2022-08-03,Semangka,227,KG
2022-08-04,Semangka,255,KG
2022-08-05,Semangka,,KG
2022-08-06,Semangka,268,KG
2022-08-07,Semangka,,KG
2022-08-08,Semangka,197,KG
2022-08-09,Semangka,197,KG
2022-08-10,Semangka,224,KG
2022-08-11,Semangka,261,KG
2022-08-12,Semangka,284,KG
2022-08-13,Semangka,266,KG
2022-08-14,Semangka,170,KG
2022-08-15,Semangka,201,KG
2022-08-16,Semangka,205,KG
2022-08-17,Semangka,220,KG
2022-08-18,Semangka,254,KG
2022-08-19,Semangka,280,KG
2022-08-20,Semangka,255,KG
2022-08-21,Semangka,160,KG
2022-08-22,Semangka,,KG
2022-08-23,Semangka,,KG
2022-08-24,Semangka,227,KG
2022-08-25,Semangka,265,KG
2022-08-26,Semangka,290,KG
2022-08-27,Semangka,276,KG
2022-08-28,Semangka,178,KG
2022-08-29,Semangka,199,KG
2022-08-30,Semangka,207,KG
2022-08-31,Semangka,,KG
